benchmark,model,effort,score,unit,best_score_in_curve,best_effort_in_curve,delta_from_curve_best,source_id,pdf_page,figure_or_table,harness_scope,extraction_method
FrontierCode Main,Opus 4.8,Max,46.5,percent / benchmark score as labelled,46.5,Max,0.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,GPT-5.6 Sol,Low,35.4,percent / benchmark score as labelled,47.5,Max,-12.1,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,GPT-5.6 Sol,Medium,39.9,percent / benchmark score as labelled,47.5,Max,-7.6,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,GPT-5.6 Sol,High,45.1,percent / benchmark score as labelled,47.5,Max,-2.4,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,GPT-5.6 Sol,XHigh,46.8,percent / benchmark score as labelled,47.5,Max,-0.7,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Main,GPT-5.6 Sol,Max,47.5,percent / benchmark score as labelled,47.5,Max,0.0,P-O5,151,Figure 8.4.A,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 5,Low,55.8,percent / benchmark score as labelled,63.6,Medium,-7.8,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 5,Medium,63.6,percent / benchmark score as labelled,63.6,Medium,0.0,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 5,High,58.5,percent / benchmark score as labelled,63.6,Medium,-5.1,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 5,XHigh,56.9,percent / benchmark score as labelled,63.6,Medium,-6.7,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 5,Max,58.9,percent / benchmark score as labelled,63.6,Medium,-4.7,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Fable 5,Low,60.8,percent / benchmark score as labelled,64.9,XHigh,-4.1,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Fable 5,Medium,62.8,percent / benchmark score as labelled,64.9,XHigh,-2.1,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Fable 5,High,64.2,percent / benchmark score as labelled,64.9,XHigh,-0.7,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Fable 5,XHigh,64.9,percent / benchmark score as labelled,64.9,XHigh,0.0,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Fable 5,Max,63.6,percent / benchmark score as labelled,64.9,XHigh,-1.3,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 4.8,Low,50.8,percent / benchmark score as labelled,59.6,Max,-8.8,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 4.8,Medium,55.4,percent / benchmark score as labelled,59.6,Max,-4.2,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 4.8,High,55.8,percent / benchmark score as labelled,59.6,Max,-3.8,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 4.8,XHigh,59.5,percent / benchmark score as labelled,59.6,Max,-0.1,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,Opus 4.8,Max,59.6,percent / benchmark score as labelled,59.6,Max,0.0,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,GPT-5.6 Sol,Low,50.0,percent / benchmark score as labelled,60.6,Max,-10.6,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,GPT-5.6 Sol,Medium,54.7,percent / benchmark score as labelled,60.6,Max,-5.9,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,GPT-5.6 Sol,High,58.7,percent / benchmark score as labelled,60.6,Max,-1.9,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,GPT-5.6 Sol,XHigh,60.0,percent / benchmark score as labelled,60.6,Max,-0.6,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
FrontierCode Extended,GPT-5.6 Sol,Max,60.6,percent / benchmark score as labelled,60.6,Max,0.0,P-O5,151,Figure 8.4.B,Cognition FrontierCode autonomous patch-generation harness; mean@5,manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 5,Low,47.8,percent / benchmark score as labelled,56.4,XHigh,-8.6,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 5,Medium,54.2,percent / benchmark score as labelled,56.4,XHigh,-2.2,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 5,High,56.0,percent / benchmark score as labelled,56.4,XHigh,-0.4,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 5,XHigh,56.4,percent / benchmark score as labelled,56.4,XHigh,0.0,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 5,Max,56.3,percent / benchmark score as labelled,56.4,XHigh,-0.1,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Fable 5,Low,50.3,percent / benchmark score as labelled,57.8,XHigh,-7.5,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Fable 5,Medium,53.6,percent / benchmark score as labelled,57.8,XHigh,-4.2,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Fable 5,High,54.4,percent / benchmark score as labelled,57.8,XHigh,-3.4,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Fable 5,XHigh,57.8,percent / benchmark score as labelled,57.8,XHigh,0.0,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Fable 5,Max,56.5,percent / benchmark score as labelled,57.8,XHigh,-1.3,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 4.8,Low,42.8,percent / benchmark score as labelled,49.8,Max,-7.0,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 4.8,Medium,45.0,percent / benchmark score as labelled,49.8,Max,-4.8,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 4.8,High,47.1,percent / benchmark score as labelled,49.8,Max,-2.7,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 4.8,XHigh,49.6,percent / benchmark score as labelled,49.8,Max,-0.2,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Opus 4.8,Max,49.8,percent / benchmark score as labelled,49.8,Max,0.0,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Sonnet 5,Low,25.8,percent / benchmark score as labelled,44.1,Max,-18.3,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Sonnet 5,Medium,34.4,percent / benchmark score as labelled,44.1,Max,-9.7,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Sonnet 5,High,39.3,percent / benchmark score as labelled,44.1,Max,-4.8,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Sonnet 5,XHigh,42.0,percent / benchmark score as labelled,44.1,Max,-2.1,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"HLE, no tools",Sonnet 5,Max,44.1,percent / benchmark score as labelled,44.1,Max,0.0,P-O5,158,Figure 8.10.1.B,"Humanity's Last Exam, no tools",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 5,Low,84.4,percent / benchmark score as labelled,90.8,Max,-6.4,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 5,Medium,88.9,percent / benchmark score as labelled,90.8,Max,-1.9,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 5,High,90.2,percent / benchmark score as labelled,90.8,Max,-0.6,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 5,XHigh,90.7,percent / benchmark score as labelled,90.8,Max,-0.1,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 5,Max,90.8,percent / benchmark score as labelled,90.8,Max,0.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Fable/Mythos 5,Low,83.0,percent / benchmark score as labelled,88.0,XHigh,-5.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Fable/Mythos 5,Medium,87.1,percent / benchmark score as labelled,88.0,XHigh,-0.9,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Fable/Mythos 5,High,87.3,percent / benchmark score as labelled,88.0,XHigh,-0.7,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Fable/Mythos 5,XHigh,88.0,percent / benchmark score as labelled,88.0,XHigh,0.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Fable/Mythos 5,Max,88.0,percent / benchmark score as labelled,88.0,XHigh,0.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 4.8,Low,77.4,percent / benchmark score as labelled,84.3,Max,-6.9,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 4.8,Medium,79.1,percent / benchmark score as labelled,84.3,Max,-5.2,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 4.8,High,82.0,percent / benchmark score as labelled,84.3,Max,-2.3,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 4.8,XHigh,84.0,percent / benchmark score as labelled,84.3,Max,-0.3,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Opus 4.8,Max,84.3,percent / benchmark score as labelled,84.3,Max,0.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Sonnet 5,Low,59.9,percent / benchmark score as labelled,84.7,Max,-24.8,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Sonnet 5,Medium,71.4,percent / benchmark score as labelled,84.7,Max,-13.3,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Sonnet 5,High,79.4,percent / benchmark score as labelled,84.7,Max,-5.3,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Sonnet 5,XHigh,82.5,percent / benchmark score as labelled,84.7,Max,-2.2,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
"BrowseComp, 10M-token budget",Sonnet 5,Max,84.7,percent / benchmark score as labelled,84.7,Max,0.0,P-O5,160,Figure 8.10.2.B,"BrowseComp single-agent, 10M token budget",manual transcription from rendered official figure; cross-checked against PDF text
