route_id,task_family,task_subtype,coupling,decomposition_difficulty,time_horizon,context_topology,solo_team_choice,controller_model,controller_effort,worker_model,worker_effort,harness,concurrency_cap,alternative_route,downshift_trigger,escalation_trigger,verification_policy,cost_latency_implications,failure_modes,evidence_strength,evidence_ids,recommendation_status,revision_trigger
RT-11,Writer-verifier,Draft plus independent factual/citation/acceptance verification,Sequential but separable roles,Low,Minutes to hours,Fresh verifier context with source packet,Two-stage team or deterministic verifier,Opus 5,High for synthesis; Medium for bounded writing,"Sonnet 5 High, Opus 5 Medium, or GPT-5.6 Sol High as heterogeneous verifier",High for verification,Explicit writer -> verifier -> repair loop with capped retries,1 writer + 1 verifier,One Opus 5 Medium with deterministic checks when risk is low,All claims machine-verifiable and low consequence,"Material contradictions, high-stakes decision, weak source coverage","Verifier sees acceptance criteria and primary evidence, not writer rationale; human adjudication for load-bearing disputes",Fresh verification adds cost but is more defensible than broad swarm,"Verifier deference, shared-family correlated error, endless repair loop",Low-moderate; official guidance plus evaluation methodology,W-A-OPUS; AHR-C §§11.7-11.9; W-CODE-SUBAGENTS,Recommended control pattern,Calibrated human sample shows verifier fails to catch severe errors
RT-12,Implementer-reviewer,Code implementation then independent review/test attack,Sequential,Low-medium,Hours,Implementer repo context; reviewer fresh diff/test context,Two-stage,Opus 5,High,Opus 5 Medium implementer + Sonnet 5 High or Sol High reviewer,Medium / High,Subagents or separate sessions; reviewer cannot edit until findings logged,1+1,Opus 5 Medium solo with tests,Mechanical patch and exhaustive tests,"Security, data migration, or architecture-sensitive change","Review checklist, hidden tests, mutation/adversarial tests; human approval for release",Cheaper heterogenous reviewer may improve error diversity,"Rubber-stamp review, shared blind spot, reviewer rewriting instead of testing",Low-moderate,P-O5 p151; W-CURSOR; AHR-C evaluation clauses,Recommendation,Paired review experiment shows no severe-failure reduction
RT-13,Sequential tool/API automation,Stateful sequence where next action depends on prior tool result,High / sequential,Low-medium,Minutes to hours,One state ledger,Solo or deterministic workflow,Opus 5 or GPT-5.6 Sol,Medium; High for ambiguous rules,None or deterministic stage tools,n/a,Single agent + explicit state machine / programmatic tool calling,0,Sonnet 5 High for routine low-risk flows,Deterministic graph can be scripted,Independent research branches appear,"Read-after-write, idempotency, transaction log, external end-state check",Multiple agents usually add overhead without parallel benefit,"State loss, duplicate side effects, stale reads",Moderate for architecture; model comparison low-moderate,P-O5 p148 Table 8.1.A; W-OAI-GPT56; W-CODE-AGENTS,Architecture-first recommendation,Local workflow trials show another route improves verified completion
RT-14,Days-scale project management,"Persistent evolving project with memory, worker lifecycle, checkpoints, and reprioritization",Mixed,Very high,Days to weeks,Long-lived worker memories + external project ledger,Team,Fable 5,High initially; XHigh on replanning/recovery checkpoints,"Mixed: Opus 5 Medium implementers, Sonnet 5 High scouts/reviewers, deterministic tools",Task-specific; keep routine work below XHigh,Async lead + long-lived subagents + external task/memory system + scheduled verification gates,4 active; queued backlog; explicit total worker budget,Opus 5 XHigh controller inside deterministic project-management scaffold,Project decomposes into stable work packages,"Repeated missed dependencies, stalled workers, integration failures","Daily/phase evidence audit, acceptance tests, rollback checkpoints, human approval at irreversible gates",Fable price premium is concentrated in controller; worker mix controls total spend; longest latency tails,"False status, scope drift, forgotten dependencies, unbounded spend",Low-moderate; vendor positioning and harness guidance,W-A-FABLE long-horizon/delegation/progress; W-CODE-WORKFLOWS; R-CLAW,Vendor-supported recommendation requiring local pilot,30-task local longitudinal pilot shows no coordination advantage or unacceptable refusal/availability burden
RT-15,Homogeneous teams,Same model and effort for lead and workers,Varies,Varies,Varies,Multiple similar contexts,Use for clean benchmark comparison or simple deployment,Opus 5 or Fable 5,Match worker effort only when experiment requires,Same as controller,Same as controller,Vendor-style fixed/async team,Benchmark-specific,Mixed team that separates controller and worker economics,Worker tasks are routine,Worker capability is the bottleneck,Report lead and worker effort separately; preserve failures,Simple but confounds controller and worker quality; expensive with Fable,"Cannot attribute gain, correlated errors, needless premium workers",High for confounding diagnosis,P-O5 p168; P-F5 p275-276; AHR-C §11.2,Evaluation warning,Published controller-swap study resolves attribution
RT-16,Mixed-model teams,Premium controller + efficient implementation workers,Medium,High,Hours to days,Manager context plus task-specialized worker contexts,Team,Fable 5,High/XHigh,Opus 5,Medium implementers; High for ambiguous modules,Claude Code custom subagents with per-worker model/effort overrides,3-5,Opus 5 High controller + same workers,Controller spends most time doing implementation rather than organization,"Work graph churn, cross-worker communication, integration defects",Controller cannot mark worker task done without tests/evidence; independent final verifier,Economic hypothesis: buy Fable only for management tokens; not publicly validated head-to-head,"Manager overreach, workers under-scoped, integration blind spot","Low; plausible mixed policy, not controlled public result",W-A-FABLE; P-O5 p151; W-CODE-MODEL-CONFIG,Explicit experimental policy,Controller-isolation A/B shows cost per verified success is worse than Opus controller
RT-17,Mixed-model teams,Strong controller + low-cost scouts / breadth workers,Low,Known,Minutes to hours,Many isolated retrieval contexts,Team,Opus 5,High,Sonnet 5 or GPT-5.6 Terra/Luna,Low/Medium/High depending source interpretation,Custom subagents or cross-provider workflow,3-6,GPT-5.6 Sol multi-agent homogeneous,Retrieval volume small,Workers must make high-stakes interpretive judgments,Controller samples primary sources; deterministic dedupe and citation checks,Largest cost savings when worker volume dominates; cross-provider integration adds engineering/privacy burden,"Cheap-worker omissions, inconsistent formats, transport friction",Low-moderate,W-A-PRICE; W-OAI-GPT56; P-S5; W-CODE-SUBAGENTS,Economic recommendation,Trace replay shows quality loss outweighs savings
RT-18,High-stakes audit / decision support,Consequential factual synthesis with contradictory evidence,Medium,High,Hours to days,Source-class partitions + central claim ledger,Bounded team with human adjudication,Opus 5 or Fable 5,High/XHigh,Heterogeneous researchers/verifiers,High where interpretation is load-bearing,Bounded fan-out + writer-verifier + human sign-off,3-5,GPT-5.6 Sol High/XHigh with same controls,Low consequence and direct primary evidence,"Material disagreement, legal/financial/safety consequence, unresolved citations","Claim-level source links, calculation audit, human validation of load-bearing judgments",Verification burden dominates model price; optimize cost per acceptable verified result,"Citation laundering, false consensus, correlated model judges",Methodological,"AHR-C §§6-7,10-13",Governance requirement,User risk tolerance or authoritative evidence changes
RT-19,Long-context work,One coherent corpus with global dependencies and little parallelism,High,Low but global context needed,Hours,Single large context,Solo,Opus 5 or GPT-5.6 Sol; Fable for extreme ambiguity,High/XHigh,Optional retrieval scouts only,Low/Medium,Single long-context agent with indexed evidence,0-2,Fable High/XHigh for multithreaded ambiguity,Corpus can be partitioned without cross-links,Context exceeds reliable recall or contradictory source classes require independent checks,"Evidence map, retrieval recall checks, source citations",Parallel agents duplicate corpus tokens; long-input pricing/caching matters,"Lost cross-document dependency, context dilution, expensive duplication",Low-moderate,W-A-FABLE ambiguity; W-OAI-GPT56; model specs,Conditional recommendation,Local long-context retrieval tests show stable superiority
RT-20,Artifact / multimodal production,"Documents, spreadsheets, slides, visual QA, or computer-use refinement",Medium-high,Medium,Hours,Artifact state + visual feedback loop,Solo creator plus verifier; avoid broad team,GPT-5.6 Sol or Opus 5; Fable for complex enterprise bundles,High/XHigh,Sonnet 5 / Sol Terra for extraction or QA,Medium/High,Artifact toolchain with render-and-verify loop,1-2,Fable High for long-running multithreaded enterprise workflow,Template fill or simple transformation,"Many linked artifacts, contradictory source data, repeated visual defects",Render/open every artifact; formula/link/reference validation,Sol has strong current vendor/practitioner evidence for artifacts; harness matters more than raw model,"Polished but wrong output, broken formulas, layout defects",Low-moderate; vendor/practitioner reports,W-OAI-GPT56; P-F5 enterprise guidance; AHR-C §12.4,Cross-model recommendation,Representative artifact suite with blinded human scoring changes ranking
