claim_id,claim_text,epistemic_status,direct_support,contrary_evidence,source_role,scope_conditions,confidence_basis,calculation,revision_trigger
C-011,ClawArena-Team is designed to isolate manager quality by holding a fixed locally served worker pool constant.,Verified implementation-artifact claim,"R-CLAW commit 630efd8..., README lines 8-9 and 23-33.",Benchmark tasks are procedurally generated/authored partly by the capability measured; one run per manager; Fable uses refusal fallback; Opus5 absent.,Independent benchmark repository,"Benchmark design, not current Fable-vs-Opus5 ranking.",Pinned commit and explicit design description.,"41 scenarios, 258 rounds, 72 staged updates as reported.",Repository methods or leaderboard updated with repeated Opus5 runs.
C-012,Multi-agent overhead can make easy problems slower even when hard-tail problems benefit.,Vendor-reported observation,P-F5 p.272: median per-problem speedup 0.8x on easy bucket and 1.6x on hard bucket; summed hard-bucket latency 4.4x. P-O48 p.211 reports similar hard-tail pattern.,Fixed teams can improve aggregate score and latency on sufficiently hard/decomposable sets.,Vendor system cards,BrowseComp difficulty buckets and specific harnesses.,Direct reported stratified result.,0.8x means 20% slower per easy problem relative to baseline.,Task-specific overhead measurements show different break-even point.
C-013,"In the Fable BrowseComp experiment, the blocking orchestrator underperformed non-blocking fixed and async designs.",Vendor-reported observation,"P-F5 p.270-271: blocking 89.9, fixed 10-agent 92.2, async 93.3; p.271 discusses synchronization/context costs.","Opus4.8 blocking was its strongest reported setup, so the architecture effect is model/configuration-specific.",Vendor system cards,Fable/Mythos 5 BrowseComp harness.,Direct exact scores and methodology.,Async - blocking = 93.3 - 89.9 = +3.4 pp.,Production blocking harness with persistent context shows equal reliability/value.
C-014,Fable/Mythos 5 five-agent ProgramBench reached 60% about 3.2x faster and finished 7.9 percentage points above solo.,Vendor-reported observation,"P-F5 p.274, Fig. 8.15.2.A and prose.",Chart annotation rounds near 3.3x; program reconstruction is one naturally decomposable benchmark; more agents use more tokens.,Vendor system card,"Five-agent fixed team, ProgramBench.",Direct prose and figure; rounding discrepancy preserved.,"Reported directly; use 3.2x prose, not 3.3x rounded annotation.",Released-config replication or repository task suite.
C-015,"Opus 5 five-agent ProgramBench reached 60% about 2.2x faster, while async reached the highest final score.",Vendor-reported observation,"P-O5 p.166, Fig. 8.11.2.A.",Pre-release model/unreleased effort; not a controller-isolation test.,Vendor system card,"ProgramBench, Opus5 multi-agent configurations.",Direct figure/prose.,Reported directly.,Released configuration or representative repo-scale replication.
C-016,No public Low/Medium/High/XHigh/Max sweep of the Opus 5 lead orchestrator was located in this pass.,Documented non-finding,P-O5 p.168 states multi-agent runs used an unreleased effort configuration; search log records targeted searches.,Internal unpublished data may exist; absence from located public sources is not proof of absence.,Vendor methodology + search record,Public evidence located by 2026-07-24.,Direct methodology and repeated targeted search.,Not applicable.,Anthropic or independent evaluator publishes lead-effort sweep.
C-017,"Claude Code custom subagents can use a different model and effort from the lead, while agent-team teammates can use different models but inherit the lead effort.",Verified official implementation fact,W-CODE-SUBAGENTS Supported frontmatter fields; W-CODE-MODEL-CONFIG effort override; W-CODE-TEAMS Specify teammates and models.,Feature behavior is version-dependent; environment variables can override frontmatter effort.,Vendor harness documentation,Current Claude Code docs as of 2026-07-24; actual version must be recorded.,Direct configuration documentation.,Not applicable.,Claude Code version changes semantics.
C-018,Claude Code agent teams are experimental and known to have coordination/resumption/shutdown limitations.,Verified official implementation fact,"W-CODE-TEAMS, opening section, accessed 2026-07-24.",Feature may improve in later versions.,Vendor harness documentation,Current experimental feature.,Direct official documentation.,Not applicable.,Feature graduates or documented limitations change.
C-019,OpenAI Responses API multi-agent is currently a beta homogeneous harness whose subagents share the request model and tools.,Verified official implementation fact,"W-OAI-MULTI, Overview/How Multi-agent works, accessed 2026-07-24.",Custom external orchestration can mix providers/models; beta semantics may change.,Vendor API documentation,Responses API built-in multi-agent beta.,Direct official description.,Not applicable.,API adds per-subagent model/tool overrides or leaves beta.
C-020,CursorBench 3.2 shows Fable Max at 70.5% and $17.32/task versus Opus Max 70.0% and $8.23/task.,Practitioner-reported observation,"W-CURSOR leaderboard, accessed 2026-07-24.","Proprietary tasks, Cursor harness, no uncertainty intervals in leaderboard; 0.5pp may be noise.",Practitioner/harness vendor evaluation,CursorBench 3.2 complete configurations.,Direct current leaderboard values with source incentives qualified.,Cost ratio = 17.32 / 8.23 = 2.1045 -> 2.10x; score delta = 70.5 - 70.0 = +0.5 pp.,"Benchmark version, repeated-trial intervals, or local tasks change."
C-021,"CursorBench 3.2 shows GPT-5.6 Sol Max at 67.2% and $5.69/task, below Opus Max score but at lower task cost.",Practitioner-reported observation,W-CURSOR leaderboard.,Harness and prompts differ by provider; OpenAI vendor page reports other benchmark advantages.,Practitioner/harness vendor evaluation,CursorBench 3.2.,Direct leaderboard values.,Cost ratio Sol Max / Opus Max = 5.69 / 8.23 = 0.6914 -> 69%; score delta = 67.2 - 70.0 = -2.8 pp.,Local coding tasks or new benchmark version.
C-022,The strongest current answer is to default to Opus 5 for most bounded production work and reserve Fable for cases where coordination topology is itself the hard part.,Recommendation / synthesis,"C-001 to C-021, especially Opus Medium implementation peak, Opus async repair, Fable vendor delegation profile, and cost differential.",Fable can win hardest-task endpoints; current independent controller evidence is immature; local work may have different failure costs.,Cross-source decision synthesis,General first-pass policy before local validation; assumes Fable is operationally admissible.,Multiple source roles agree on cost and task-conditioned capability; manager-specific conclusion remains qualified.,No scalar ranking; routing is conditional.,Controlled same-worker local evaluation or product/pricing change.
C-023,"Opus 5 Medium implementers under a Fable High/XHigh controller is a plausible mixed policy, not a publicly verified superiority result.",Recommendation / experimental hypothesis,P-O5 p.151 supports Medium implementation; W-A-FABLE supports manager specialization; W-CODE-MODEL-CONFIG permits mixed effort/model subagents.,No controlled public mixed Fable-controller/Opus-worker comparison located.,Synthesis across vendor evidence and harness implementation,Claude Code or custom harness with identical worker prompts/tools; only after privacy/availability gates.,Component evidence is direct; composition effect is unmeasured.,Economic hypothesis: spend Fable rates only on controller tokens.,Local controller-swap A/B.
C-024,Opus 5 High controller plus lower-cost Sonnet 5 or GPT-5.6 Terra/Luna scouts is a plausible breadth policy.,Recommendation / experimental hypothesis,W-A-PRICE and W-OAI-GPT56 pricing; W-CODE-SUBAGENTS mixed configuration; P-S5 worker capability evidence.,"Cross-provider orchestration adds transport, privacy, schema, and verification burden; cheap workers can omit sources.",Economic synthesis,Independent retrieval/scouting tasks with controller verification.,Cost differential is direct; quality/value must be locally measured.,No universal cost ratio because token mix and provider differ.,Trace replay or local fan-out evaluation.
C-025,Max should not be the default effort for either Opus 5 or Fable 5.,Recommendation from non-monotonic evidence,C-002 to C-004; W-A-FABLE effort guidance; W-OAI-GUIDANCE recommends comparing XHigh/Max on representative workloads.,CursorBench and some hard tasks peak at Max; rare severe failures may justify it.,Cross-source synthesis,"Default production routing, not capability ceiling tests.",Multiple official curves show plateaus/regressions and high cost.,Task-specific deltas shown in effort_curves.csv.,Local value-weighted curve shows Max dominates after severe-failure cost.
C-026,Sonnet 5 is best treated as a lower-cost worker/baseline rather than the default controller for the hardest dynamic orchestration.,Recommendation / inference,"P-S5 task results, W-A-PRICE, CursorBench cost/score curve, lack of manager-isolation evidence.",Sonnet may be sufficient for many bounded teams and can outperform older Opus on some cost frontiers.,Cross-source synthesis,Hard dynamic orchestration; not routine teams.,"Cost advantage direct, manager superiority absent.",Current promotional rate $2/$10 vs Opus $5/$25 and Fable $10/$50.,Controlled manager benchmark adds Sonnet5 and shows parity.
C-027,"GPT-5.6 Sol is a strong cost-performance alternative for solo/controller work, but its built-in multi-agent beta is not directly comparable to Claude mixed-model subagents.",Synthesis,W-OAI-GPT56; W-OAI-MULTI; W-CURSOR; W-AA-OPUS5.,Custom OpenAI/external harnesses can mix models; vendor benchmark tables use heterogeneous scaffolds.,Vendor docs + practitioner/evaluator evidence,Current built-in Responses multi-agent beta and reported complete configurations.,Direct implementation semantics and independent-ish/practitioner scores.,See CursorBench and pricing CSVs.,OpenAI adds per-worker routing or controlled common-harness study.
C-028,"Fable suitability has non-performance gates: classifiers/fallback behavior, long runtimes, and any current data-retention or availability constraints must be checked in the target account.",Recommendation grounded in official behavior guidance,W-A-FABLE sections on classifiers/fallback and longer turns; current product documentation should be checked at deployment.,Some workloads never trigger safeguards and tolerate long turns.,Vendor documentation,"Operational deployment, especially dual-use domains and unattended runs.",Direct documented behaviors; account-specific rates unknown.,Not applicable.,"Product policy, account access, fallback, or retention terms change."
C-029,"The controlled local evaluation should hold tasks, workers, prompts, tools, budgets, concurrency, and verification constant while swapping only the controller model/effort.",Methodological recommendation,C-009/C-011 and AHR-C §§11.2-11.11.,A fully factorial test is expensive; some controller-specific prompt tuning may be needed after a locked common-prompt phase.,Methodology/governance + benchmark design,Evaluation intended to isolate controller quality.,Direct causal-identification logic.,"Primary design: 4 controller cells x >=5 repeats x representative tasks, paired worker seeds.",Pilot shows prompt non-equivalence or budget infeasibility; preregister adaptation.
C-030,No controlled independent Opus 5-versus-Fable 5 manager study with identical workers was located in this pass.,Documented non-finding,Search log; R-CLAW lacks Opus5; vendor cards confound lead/worker.,"Private evaluations may exist; search was targeted, not exhaustive.",Search record,Publicly retrievable evidence through 2026-07-24.,"Repeated query classes across official, repository, arXiv, practitioner sources.",Not applicable.,"New study, repository row, or disclosed internal evaluation."
