model,task,effort,score,source,extraction_method
Fable/Mythos 5,FrontierCode Extended,High,64.2,"Opus 5 system card p.151, Fig. 8.4.B",manual transcription from labeled figure
Fable/Mythos 5,"HLE, no tools",High,54.4,"Opus 5 system card p.158, Fig. 8.10.1.B",manual transcription from labeled figure
Fable/Mythos 5,"BrowseComp, 10M",High,87.3,"Opus 5 system card p.160, Fig. 8.10.2.B",manual transcription from labeled figure
Fable/Mythos 5,DeepSWE 1.1,XHigh,69.9,"Opus 5 system card p.150, Fig. 8.3.A",manual transcription from labeled figure
Fable/Mythos 5,FrontierCode Main,XHigh,53.5,"Opus 5 system card p.151, Fig. 8.4.A",manual transcription from labeled figure
Fable/Mythos 5,FrontierCode Extended,XHigh,64.9,"Opus 5 system card p.151, Fig. 8.4.B",manual transcription from labeled figure
Fable/Mythos 5,"HLE, no tools",XHigh,57.8,"Opus 5 system card p.158, Fig. 8.10.1.B",manual transcription from labeled figure
Fable/Mythos 5,"BrowseComp, 10M",XHigh,88.0,"Opus 5 system card p.160, Fig. 8.10.2.B",manual transcription from labeled figure
Fable/Mythos 5,DeepSWE 1.1,Max,69.7,"Opus 5 system card p.150, Fig. 8.3.A",manual transcription from labeled figure
Fable/Mythos 5,FrontierCode Main,Max,51.6,"Opus 5 system card p.151, Fig. 8.4.A",manual transcription from labeled figure
Fable/Mythos 5,FrontierCode Extended,Max,63.6,"Opus 5 system card p.151, Fig. 8.4.B",manual transcription from labeled figure
Fable/Mythos 5,"HLE, no tools",Max,56.5,"Opus 5 system card p.158, Fig. 8.10.1.B",manual transcription from labeled figure
Fable/Mythos 5,"BrowseComp, 10M",Max,88.0,"Opus 5 system card p.160, Fig. 8.10.2.B",manual transcription from labeled figure
